,Name,DMSO 1-3 Basal_1,DMSO 1-3 Basal_2,DMSO 1-3 Basal_3,DMSO 3-5 Basal_1,DMSO 3-5 Basal_2,DMSO 3-5 Basal_3,DMSO 5-7 Basal_1,DMSO 5-7 Basal_2,DMSO 5-7 Basal_3
0,13BPG,0,0,0,100,100,,0,0,0
1,2-AB,0.036870734,0.036870734,0.036870734,0.036870734,0.036870734,0.036870734,0.036870734,0.036870734,0.036870734
2,2-HG,0.0349184,0.015354834,0.018911757,3.342319146,1.935005298,3.206013647,12.58894141,10.26531011,11.02118181
3,2-KB,0,0,0,0,0,0,0,0,0
4,2-Oxoadipate,0,0,0,0,0,0,0,0,0
5,2-Oxosuccinamate,0.036870734,0.036870734,0.036870734,0.036870734,0.036870734,0.036870734,0,0,0
6,3PG,76.80987613,76.25002597,94.0630308,82.77623799,80.93214777,73.58332335,82.55832354,82.15257252,77.12062056
7,4-OH-PheLac,0,0,0,0,0,0,0,0,0
8,5-Oxoproline,0.221404579,0.25918488,0.197680962,0.384611853,0.393560901,0.463341395,5.488347133,5.161840215,5.156134624
9,5M-adenosine,43.328407,42.43175791,45.27606606,45.46838859,45.93742657,46.50181282,40.56272629,40.43118426,39.75559878
10,A,0.110206091,36.35779913,42.84645858,52.19213201,9.46760744,48.71055246,44.76587107,45.90893192,0.110206091
11,a-KG,1.983201033,4.640566147,3.00522352,10.63177187,11.31618838,8.698164898,31.4934416,32.41338706,31.05023427
12,Ac-carnitine,10.22260011,10.31001751,10.14726174,10.11660265,10.57413406,10.47794637,9.365916991,9.042587164,8.714108537
13,Ac-choline,0.073632899,0.073632899,0.073632899,0.003472277,0.041688988,0.073632899,0.032323343,0.032724262,0.039494871
14,Acetyl-CoA,24.91542427,24.916344,25.75107259,25.78888708,26.11081035,26.22918253,23.42950499,23.00437378,22.38217475
15,Aconitate,1.488202853,1.5333686,1.698822063,6.577878589,5.94989015,7.456949997,23.51724699,23.58264079,23.90963984
16,Adenine,0.049140849,,0.049140849,,0.049140849,,0.049140849,20.02949659,0.049140849
17,ADP,49.16424837,48.34464584,48.45738663,50.3017778,52.21762308,52.26131662,44.018086,44.41062243,43.74992792
18,Ala,9.09069607,8.862150711,8.703666435,28.87257934,27.41375944,27.61067293,61.68400435,62.04790079,61.30611524
19,AMP,22.49355262,36.98771694,50.02457042,51.98037018,54.85413081,45.30549893,47.15208922,47.95158209,42.98129589
20,Arg,0.002564732,0.002277549,0.00179252,0.002281836,0.002599611,0.002532686,0.002306745,0.002208008,0.002279388
21,Arg-Succ,0.110206067,0.110206067,0.110206067,5.041890099,4.562707869,5.137792513,0.110206067,0.007464069,0.005480876
22,Asn,0.103907325,0.223154122,0.342264241,1.854431753,1.607868562,1.954923449,20.28424709,20.38195436,20.57165424
