,Name,DMSO 1-3 Basal_1,DMSO 1-3 Basal_2,DMSO 1-3 Basal_3,DMSO 3-5 Basal_1,DMSO 3-5 Basal_2,DMSO 3-5 Basal_3,DMSO 5-7 Basal_1,DMSO 5-7 Basal_2,DMSO 5-7 Basal_3
0,13BPG,0,0,0,424.7132616,449.8752228,,0,0,0
1,2-AB,72351.2562,55969.70266,69718.2381,38726.51434,45839.97326,45530.95763,16993.03788,18697.27306,16546.00895
2,2-HG,242919.8347,197485.1643,181013.746,93674.23835,93852.84314,86383.0678,57459.63545,56434.041,62542.19694
3,2-KB,0,0,0,0,0,0,0,0,0
4,2-Oxoadipate,28288.08264,6580.798122,22642.14286,6167.275986,1274.322638,3329.813559,3348.881344,347.0461201,857.1428571
5,2-Oxosuccinamate,519.4049587,439.4053208,492.6507937,319.6774194,451.6221034,353.1525424,0,0,0
6,3PG,12025.63636,11550.32864,10401.66667,12141.04839,13828.18182,15823.23729,11139.21372,11483.06369,10757.38903
7,4-OH-PheLac,1208401.719,1076849.186,1063270.937,554301.4068,589147.6916,479946.3983,308559.4818,297518.9568,386683.5099
8,5-Oxoproline,24186806.79,20751016.24,25350080.16,18560030.55,18976711.19,16146523.65,3190249.407,3432906.493,3366912.917
9,5M-adenosine,337968.8264,264343.3959,351789.1429,201406.0484,224225.2317,213507.839,126933.5954,138430.0732,160973.9314
10,A,2586.115702,8120.954617,20027.98413,26101.25448,3133.065954,38901.77119,5603.355969,12180.50512,312.2640806
11,a-KG,84323.75207,77639.49922,104855.1587,112894.6864,120555.1248,107688.0424,136817.4732,138691.9766,153897.7844
12,Ac-carnitine,3473482.165,3228792.598,3551074.27,3855626.461,4256197.781,4725536.059,10333350.53,10241061.24,10114885.48
13,Ac-choline,166762.7603,143213.3177,170314.7619,146490.4301,172891.3993,158987.6441,94758.44889,108862.0864,97954.46848
14,Acetyl-CoA,9745.85124,10752.09703,10619.28571,8946.980287,9945.686275,11874.18644,5963.759828,6018.942167,7157.027229
15,Aconitate,130641.0579,126441.2363,147101.4762,109950.5735,113034.0553,106482.2881,111816.1973,136080.0146,117794.2932
16,Adenine,3200.429752,,1441,,1110.409982,,329.5782702,362.2401171,597.3629243
